pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y
0,0,true,409.807308023,47.9137796759,2.125,156.0,0.2,,,
1,0,true,431.447398892,106.735579388,2.125,122.0,0.2,,,
2,0,true,99.010868907,214.817192758,2.125,138.0,0.2,,,
3,0,true,263.015404277,18.8549681631,2.125,82.0,0.2,,,
4,0,true,16.4429692006,208.954671405,2.125,223.0,0.2,,,
0,1,true,402.687688918,47.6369244821,7.125,272.226895238,0.2,,52,34
1,1,true,424.377901863,105.847977704,7.125,277.15625221,0.2,,107,66
2,1,true,105.641556718,212.209587696,7.125,68.5321150426,0.2,,363,111
3,1,true,270.13726921,18.6436275092,7.125,88.3002520938,0.2,,475.49944408,12.5495248101
4,1,true,15.7066464774,216.041522176,7.125,185.931739198,0.2,,9.57019178823,275.102769742
0,2,true,395.568069813,47.3600692883,7.125,272.226895238,0.2,,52,34
1,2,true,417.308404833,104.960376021,7.125,277.15625221,0.2,,107,66
2,2,true,112.272244528,209.601982634,7.125,68.5321150426,0.2,,363,111
3,2,true,277.259134144,18.4322868554,7.125,88.3002520938,0.2,,475.49944408,12.5495248101
4,2,true,14.9703237542,223.128372946,7.125,185.931739198,0.2,,9.57019178823,275.102769742
0,3,true,388.448450708,47.0832140945,7.125,272.226895238,0.2,,52,34
1,3,true,410.238907804,104.072774337,7.125,277.15625221,0.2,,107,66
2,3,true,118.902932339,206.994377572,7.125,68.5321150426,0.2,,363,111
3,3,true,284.380999077,18.2209462015,7.125,88.3002520938,0.2,,475.49944408,12.5495248101
4,3,true,14.234001031,230.215223717,7.125,185.931739198,0.2,,9.57019178823,275.102769742
0,4,true,381.328831602,46.8063589007,7.125,272.226895238,0.2,,52,34
1,4,true,403.169410774,103.185172654,7.125,277.15625221,0.2,,107,66
2,4,true,125.533620149,204.38677251,7.125,68.5321150426,0.2,,363,111
3,4,true,291.50286401,18.0096055477,7.125,88.3002520938,0.2,,475.49944408,12.5495248101
4,4,true,13.4976783078,237.302074488,7.125,185.931739198,0.2,,9.57019178823,275.102769742
0,5,true,374.209212497,46.5295037069,7.125,272.226895238,0.2,,52,34
1,5,true,396.099913744,102.29757097,7.125,277.15625221,0.2,,107,66
2,5,true,132.16430796,201.779167448,7.125,68.5321150426,0.2,,363,111
3,5,true,298.624728944,17.7982648938,7.125,88.3002520938,0.2,,475.49944408,12.5495248101
4,5,true,12.7613555846,244.388925259,7.125,185.931739198,0.2,,9.57019178823,275.102769742
0,6,true,367.089593392,46.2526485131,7.125,272.226895238,0.2,,52,34
1,6,true,389.030416715,101.409969287,7.125,277.15625221,0.2,,107,66
2,6,true,138.79499577,199.171562386,7.125,68.5321150426,0.2,,363,111
3,6,true,305.746593877,17.58692424,7.125,88.3002520938,0.2,,475.49944408,12.5495248101
